LogisticRegression,RandomForest,XGBoost,CatBoost,MLP
0.09425463006852787,0.01,0.039282236248254776,0.05107705827565063,0.0010055934848251613
0.2852644394790074,0.05,0.3750613331794739,0.4694919454221128,0.001037291550209158
0.2207929828044816,0.0,0.04678823798894882,0.08392200307263183,0.0009714720102479791
0.2531721725034338,0.02,0.12116674333810806,0.1407253305827296,0.0008547616687299184
0.5777639619185119,0.03,0.6163147687911987,0.5985413879602426,0.006319088932563554
0.5191534301777838,0.11,0.6179741024971008,0.6907960957346562,0.016934200904180085
0.3227254508782023,0.0,0.3267306387424469,0.2817933440112507,0.0055653991145205904
0.05103566089310239,0.01,0.11842428892850876,0.1568601930780982,0.0007668508989341796
0.4294121659970401,0.01,0.1559031903743744,0.22574672102092616,0.019143242802106983
0.3387984828078818,0.13,0.579582691192627,0.585505603303645,0.25248778248297893
0.3081965820860212,0.0,0.24553698301315308,0.26820153836647964,0.008273953362909297
0.4360423447579885,0.06,0.6594337821006775,0.5429173886620537,0.024460113230279367
0.12609077971241323,0.01,0.09570012986660004,0.07706943358112832,0.004129155853369549
0.7847936595177709,0.03,0.4685215353965759,0.5506934290338759,0.001029071583325861
0.2698278570678655,0.0,0.08371880650520325,0.10474911949128472,0.0034557731077504124
0.8921244411773607,0.41,0.9206859469413757,0.891417046646279,0.6485661808618993
0.2831767839395448,0.0,0.1301688402891159,0.12866996337068556,0.0002745526927955653
0.3864068865234963,0.07,0.34633901715278625,0.4767274547674056,0.015454669009392349
0.23189225107265546,0.0,0.1848796159029007,0.2188039920077362,0.00019809496791780955
0.23223473254832053,0.01,0.17213188111782074,0.15979615003987024,0.0038238176056181353
0.11874007215033944,0.02,0.20401088893413544,0.24442896756008453,5.596857011317896e-08
0.9985957233692222,0.85,0.9934840798377991,0.9944054051062102,0.9994224322377364
0.311775216604698,0.01,0.15500061213970184,0.12292729724389428,0.006224066948679457
0.07343818387580217,0.04,0.13878701627254486,0.0942564270228841,0.0002139286329561464
0.3788039576023866,0.0,0.36981043219566345,0.43616717797000293,0.0019370525677081636
0.07445176902249764,0.0,0.09559565037488937,0.08107944247625645,0.0005244180105667803
0.8044635124524149,0.11,0.7497285604476929,0.6248205934320786,0.13882475262139457
0.24926786887210933,0.01,0.28466951847076416,0.2867659950299796,0.0010210156373846695
0.2708692455666831,0.0,0.14051692187786102,0.16969522716885715,0.014632563029215865
0.1813255738976976,0.0,0.21851861476898193,0.25765785489430215,0.0010798432481418049
0.17592855893673923,0.09,0.24342000484466553,0.2263403582727789,0.006585192860818493
0.1603983976215842,0.01,0.17376604676246643,0.1794050021690489,0.0019297889159844163
0.45522112639640155,0.07,0.8107423186302185,0.7746840735984509,0.003187084683469846
0.2252873736724649,0.03,0.1875075250864029,0.18205084042281977,0.006797800209780736
0.08226624310516618,0.02,0.09054035693407059,0.09244805347377628,0.0006850936106191701
0.057677914360488566,0.01,0.06525034457445145,0.07585164924004371,0.00013666446891468097
0.9895626625752714,0.11,0.7463036179542542,0.6812411697772766,0.7688622716472199
0.13221478306030734,0.0,0.07050690054893494,0.1557754938970113,0.001419963082186531
0.09818115387889764,0.0,0.11708585917949677,0.12207710392995222,0.002577290788120835
0.04846703518419793,0.0,0.10155276954174042,0.10496045028537199,0.00040885457636649186
0.36866147943051314,0.01,0.31989961862564087,0.4137986668716241,0.028423638975918507
0.12166564773634561,0.0,0.08783333748579025,0.09320107835887038,6.890735422517359e-05
0.6121786057229617,0.07,0.65973961353302,0.6559112276583954,0.001386148852142575
0.17813571486953475,0.01,0.11395028233528137,0.10056599729545891,0.01073797753786635
0.8208637568435679,0.22,0.855053186416626,0.8333667803836841,0.14394978438286019
0.37190057217185585,0.01,0.2671317756175995,0.25680351889515673,0.005513584024891418
0.43160153077909935,0.0,0.3360876142978668,0.3217937831310327,0.0028178122466824018
0.1669775761862795,0.0,0.057452764362096786,0.09503656428148913,0.009173397681351492
0.059369942101060176,0.01,0.09567411243915558,0.1371287885360589,0.004107126034836639
0.18540226088926917,0.0,0.2140830010175705,0.2358711764434763,0.03347964531259846
